Code,Disease,ToMerge
97166,Ot Eval Mod Complex 45 Min,
97167,Ot Eval High Complex 60 Min,
97168,Ot Re-Eval Est Plan Care,
97169,Athletic Trn Eval Low Cmplx,
97170,Athletic Trn Eval Mod Cmplx,
97171,Athletic Trn Eval High Cmplx,
97172,Athletic Trn Re-Eval Plan Cr,
97530,Therapeutic activities,
97532,Cognitive skills development,
97533,Sensory integration,
97535,Self care mngment training,
97537,Community/work reintegration,
97542,Wheelchair mngment training,
97545,"Work hardening, initial 2 hr",s
97546,"Work hardening add-on, each",add'l hr
97597,Active wound care/20 cm or <,
97598,Active wound care > 20 cm,
97605,"Neg press wound tx, < 50 cm",
97606,"Neg press wound tx, > 50 cm",
97607,Brief emotional/behav assmt,
97608,Neg press wnd tx</=50 sq cm,
97610,Low frequency non-thermal us,
97750,Physical performance test,
97755,Assistive technology assess,
97760,Orthotic mgmt and training,
97761,Prosthetic training,
97762,C/o for orthotic/prosth use,
97763,Orthc/Prostc Mgmt Sbsq Enc,
97799,"Physical medicine procedure,",nos
97802,"Medical nutrition, indiv, in",
97803,"Med nutrition, indiv, subseq",
97804,"Medical nutrition, group",
97810,Acupunct w/o stimul 15 min,
97811,Acupunct w/o stimul addl 15m,
97813,Acupunct w/stimul 15 min,
97814,Acupunct w/stimul addl 15m,
98925,Osteopathic manipulation,
98926,Osteopathic manipulation,
98927,Osteopathic manipulation,
98928,Osteopathic manipulation,
98929,Osteopathic manipulation,
98940,"Chiropractic manipulation, s","pinal, 1-2 reg"
98941,"Chiropractic manipulation, s","pinal, 3-4 reg"
98942,"Chiropractic manipulation, s","pinal, 5 reg"
98960,"Self-mgmt educ & train, 1 pt",
98961,"Self-mgmt educ/train, 2-4 pt",
98962,"Self-mgmt educ/train, 5-8 pt",
98966,"HC prof phone call, 5-10 min",
98967,"HC prof phone call, 11-20 mi",n
98968,"HC prof phone call, 21-30 mi",n
98969,Online service by HC prof,
98970,Qnhp Ol Dig E/M Svc 5-10Min,
98971,Qnhp Ol Dig Em Svc 11-20Min,
98972,Qnhp Ol Dig E/M Svc 21+ Min,
99070,Special supplies,
99071,Patient education materials,
99080,Special reports or forms,
99082,Unusual physician travel,
99091,Collect/review data from pt,
99144,"Mod cs by same phys, 5 yrs +",
99145,Mod cs by same phys add-on,
99149,Mod cs diff phys 5 yrs +,
99150,Mod cs diff phys add-on,
99151,Mod Sed Same Phys/Qhp <5 Yrs,
99152,Mod Sed Same Phys/Qhp 5/>Yrs,
99153,Mod Sed Same Phys/Qhp E,
99155,Mod Sed Oth Phys/Qhp <5 Yrs,
99156,Mod Sed Oth Phys/Qhp 5/>Yrs,
99157,Mod Sed Other Phys/Qhp Ea,
99175,Induction of vomiting,
99183,Hyperbaric oxygen therapy,
99188,Hypothermia ill neonate,
99190,"Special pump services, ea hr",
99191,"Special pump services, 3/4 h",r
99192,"Special pump services, 1/2 h",r
99195,Phlebotomy,
99199,"Special service/proc/report,",unlisted
99201,ffice/outpatient visit new,
99202,ffice/outpatient visit new,
99203,ffice/outpatient visit new,
99204,ffice/outpatient visit new,
99205,ffice/outpatient visit new,
99211,"ffice/outpatient visit, est",
99212,ffice/outpatient visit est,
99213,ffice/outpatient visit est,
99214,ffice/outpatient visit est,
99215,ffice/outpatient visit est,
99217,bservation care discharge,
99218,nitial observation care,
99219,nitial observation care,
99220,nitial observation care,
99221,nitial hospital care,
99222,nitial hospital care,
99223,nitial hospital care,
99224,ubsequent observation care,
99225,ubsequent observation care,
99226,ubsequent observation care,
99231,ubsequent hospital care,
99232,ubsequent hospital care,
99233,ubsequent hospital care,
99234,bserv/hosp same date,
99235,bserv/hosp same date,
99236,bserv/hosp same date,
99238,ospital discharge day,
99239,ospital discharge day,
99281,mergency dept visit,
99282,mergency dept visit,
99283,mergency dept visit,
99284,mergency dept visit,
99285,mergency dept visit,
99288,irect advanced life support,
99291,"ritical care, first hour",
99292,"ritical care, addl 30 min",
99304,Nursing facility care init,
99305,Nursing facility care init,
99306,Nursing facility care init,
99307,Nursing fac care subseq,
99308,Nursing fac care subseq,
99309,Nursing fac care subseq,
99310,Nursing fac care subseq,
99315,Nursing fac discharge day,
99316,Nursing fac discharge day,
99318,Annual nursing fac assessmnt,
99324,Domicil/r-home visit new pat,
99325,Domicil/r-home visit new pat,
99326,Domicil/r-home visit new pat,
99327,Domicil/r-home visit new pat,
99328,Domicil/r-home visit new pat,
99334,Domicil/r-home visit est pat,
99335,Domicil/r-home visit est pat,
99336,Domicil/r-home visit est pat,
99337,Domicil/r-home visit est pat,
99339,Domicil/r-home care supervis,
99340,Domicil/r-home care supervis,
99341,ome visit new patient,
99342,ome visit new patient,
99343,ome visit new patient,
99344,ome visit new patient,
99345,ome visit new patient,
99347,ome visit est patient,
99348,ome visit est patient,
99349,ome visit est patient,
99350,ome visit est patient,
99354,"rolonged service, office",
99355,"rolonged service, office",
99356,"rolonged service, inpatient",
99357,"rolonged service, inpatient",
99358,"Prolonged serv, w/o contact",
99359,"Prolonged serv, w/o contact",
99360,Physician standby services,
99363,"Anticoag mgmt, init",
99364,"Anticoag mgmt, subseq",
99366,Team conf w/ pat by HC prof,
99367,Team conf w/o pat by phys,
99368,Team conf w/o pat by HC prof,
99374,Home health care supervision,", 15-29 min"
99375,Home health care supervision,", 30+ min"
99377,Hospice care supervision,
99378,Hospice care supervision,
99379,Nursing fac care supervision,
99380,Nursing fac care supervision,
99406,"Behav chng smoking, 3-10 min",
99407,"Behav chng smoking, gt 10 mi",n
99408,"Audit/dast, 15-30 min",
99409,"Audit/dast, over 30 min",
99421,l Dig E/M Svc 5-10 Min,
99422,l Dig E/M Svc 11-20 Min,
99423,l Dig E/M Svc 21+ Min,
99441,"hone E/M by phys, 5-10 min",
99442,"hone E/M by phys, 11-20 min",
99443,"hone E/M by phys, 21-30 min",
99444,nline e/m by phys/qhp,
99446,nterprof phone/online 5-10,
99447,nterprof phone/online 11-20,
99448,nterprof phone/online 21-30,
99449,nterprof phone/online 31/>,
99451,trprof Ph1/Ntrnet/Ehr 5/>,
99452,trprof Ph1/Ntrnet/Ehr Rfrl,
99453,em Mntr Physiol Param Setup,
99454,em Mntr Physiol Param Dev,
99455,ork related disability exam,
99456,Disability examination,
99457,Rem Physiol Mntr 20 Min Mo,
99458,Rem Physiol Mntr Ea Addl 20,
99473,Self-Meas Bp Pt Educaj/Train,
99474,Self-Meas Bp 2 Readg Bid 30D,
99483,ssmt & Care Pln Pt Cog Imp,
99484,are Mgmt Svc Bhvl Hlth Cond,
99487,mplx chron care w/o pt vsit,
99489,omplx chron care addl30 min,
99490,pp topical flouride varnish,
99491,hrnc Care Mgmt Svc 30 Min,
99492,St Psyc Collab Care Mgmt,
99493,bsq Psyc Collab Care Mgmt,
99494,St/Sbsq Psyc Collab Care,
99495,rans care mgmt 14 day disch,
99496,rans care mgmt 7 day disch,
99497,hron care mgmt srvc 20 min,
99498,Advncd care plan 30 min,
99499,Unlisted e&m service,
99500,"Home visit, prenatal",
99501,"Home visit, postnatal",
99503,"Home visit, resp therapy",
99504,Home visit mech ventilator,
99505,"Home visit, stoma care",
99506,"Home visit, im injection",
99507,"Home visit, cath maintain",
99509,Home visit day life activity,
99510,"Home visit, sing/m/fam couns",
99511,"Home visit, fecal/enema mgmt",
99512,"Home visit, hemodialysis",
99600,Home visit nos,
99601,"Home infusion/visit, 2 hrs",
99602,"Home infusion, each addtl hr",
99605,"Mtms by pharm, new pat, 15 m",in
99606,"Mtms by pharm, est pat, 15 m",in
99607,"Mtms by pharm, addl 15 min",
0001F,t Failure Composite,
0005F,oarthritis Composite,
0012F,Bacterial Assess,
0014F,Preop Assess Cat Surg,
0015F,n Follow-Up Complete,
0500F,ial Prenatal Care Visit,
0501F,atal Flow Sheet,
0502F,equent Prenatal Care,
0503F,partum Care Visit,
0505F,dialysis Plan Docd,
0507F,ton Dialysis Plan Docd,
0509F,e Incon Plan Docd,
0513F,Bp Plan Of Care Docd,
0514F,Plan Hgb Docd Esa Pt,
0516F,ia Plan Of Care Docd,
0517F,coma Plan Of Care Docd,
0518F,Plan Of Care Docd,
0519F,d Chemo Docd B/4 Txmnt,
0520F,Dos Limts B/4 3D Rad,
0521F,Of Care 4 Pain Docd,
0525F,ial Visit For Episode,
0526F,Visit For Episode,
0528F,d Flw-Up 10 Yrs Docd,
0529F,vl 3/>Yr Pts Clnscp Docd,
0535F,nea Mngmnt Plan Docd,
0540F,o Mngmnt Plan Docd,
0545F,ow Up Care Plan Mdd Docd,
0550F,path Report Nongyn Spcmn,
0551F,path Report Non Routine,
0555F,tom Mgmnt Plan Care Docd,
0556F,Care Lipid Control Docd,
0557F,Caremng Angnl Symptdocd,
0575F,Rna Plan Care Docd,
0580F,idisciplinary Care Plan,
0581F,rnsfrd From Anesth To Cc,
0582F,rnsfr From Anesth To Cc,
0583F,sfer Care Checklist Used,
0584F,ransfercare Chklist Used,
1000F,cco Use Assessed,
1002F,ss Anginal Symptom/Level,
1003F,l Of Activity Assess,
1004F,Symp Vol Ovrld Assess,
1005F,ma Symptoms Evaluate,
1006F,oarthritis Assess,
1007F,#NAME?,
1008F,enal Risk Assess,
1010F,rity Angina By Actvty,
1011F,na Present,
1012F,na Absent,
1015F,Symptoms Assess,
1018F,ss Dyspnea Not Present,
1019F,ss Dyspnea Present,
1022F,mo Imm Status Assess,
1026F,orbid Condition Assess,
1030F,uenza Imm Status Assess,
1031F,ing & 2Nd Hand Assessed,
1032F,er/Exposed 2Nd Hnd Smoke,
1033F,cco Nonsmoker Nor 2Ndhnd,
1034F,ent Tobacco Smoker,
1035F,eless Tobacco User,
1036F,cco Non-User,
1038F,istent Asthma,
1039F,rmittent Asthma,
1040F,5 Info Mdd Docd,
1050F,ory Of Mole Changes,
1052F,Location Activityassess,
1055F,al Funct Status Assess,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
1060F,Perm/Cont/Parox Atr Fib,
1061F,Lack Perm+Cont+Parox Fib,
1065F,m Stroke Symp Lt3 Hrsb/4,
1066F,m Stroke Symp Ge3 Hrsb/4,
1070F,m Symp Assessed-Absent,
1071F,m Symp Assessed-1+ Prsnt,
1090F,/Absn Urine Incon Assess,
1091F,e Incon Characterized,
1100F,lls Assess-Docd Ge2>/Yr,
1101F,alls Assess-Docd Le1/Yr,
1110F,ft Inpt Fac W/In 60 Days,
1111F,rg Med/Current Med Merge,
1116F,c/Peri Pain Assessed,
1118F,Symps Assessed 12 Month,
1119F,Eval For Condition,
1121F,Eval For Condition,
1123F,Discuss/Dscn Mkr Docd,
1124F,Discuss-No Dscnmkr Docd,
1125F,Pain Noted Pain Prsnt,
1126F,Pain Noted None Prsnt,
1127F,Episode For Condition,
1128F,Episode For Condition,
1130F,ain & Fxn Assessed,
1134F,Bk Pain For 6 Wks/<,
1135F,Bk Pain For >6 Wks,
1136F,Bk Pain For 12 Wks/<,
1137F,Bk Pain For >12 Wks,
1150F,Pt Rsk Death W/In 1Yr,
1151F,No Pt Rsk Death W/In 1Yr,
1152F,Advncd Dis Comfort 1St,
1153F,Advncd Dis Cmfrt Not 1St,
1157F,c Care Plan In Rcrd,
1158F,c Care Plan Tlk Docd,
1159F,List Docd In Rcrd,
1160F,Meds By Rx/Dr In Rcrd,
1170F,Status Assessed,
1175F,tion Stat Assessed Rvwd,
1180F,mboemb Risk Assessed,
1181F,opsychia Sympts Assessed,
1182F,opsychi Sympt 1+Present,
1183F,opsychiatric Symp Absent,
1200F,ure Type& Frequ Docd,
1205F,Etiol Synd Rvwd And Docd,
1220F,creened For Depression,
1400F,s Diag Rviewed,
1450F,toms Improved/Consist,
1451F,t Show Clin Import Drop,
1460F,Card Diag Prior 12 Mons,
1461F,ual Card Diag Prior12Mon,
1490F,Severity Classified Mild,
1491F,Severity Classified Mod,
1493F,Severity Class Severe,
1494F,it Assessed And Reviewed,
1500F,tom+Sign Symm Polyneuro,
1501F,Initial Eval For Cond,
1502F,ueried Pain Fxn W/ Instr,
1503F,ueried Symp Resp Insuff,
1504F,as Resp Insufficiency,
1505F,as No Resp Insufficiency,
2000F,d Pressure Measure,
2001F,ht Record,
2002F,Sign Vol Ovrld Assess,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
2004F,ial Exam Involved Joints,
2010F,l Signs Recorded,
2014F,al Status Assess,
2015F,ma Impairment Assessed,
2016F,ma Risk Assessed,
2018F,ation Status Assess,
2019F,ted Macul Exam Done,
2020F,ted Fundus Eval Done,
2021F,t Macular Exam Done,
2022F,Retina Exam Interp Rev,
2024F,eld Photo Interp Doc Rev,
2026F,Image Valid To Dx Rev,
2027F,c Nerve Head Eval Done,
2028F,Exam Performed,
2029F,lete Phys Skin Exam Done,
2030F,Stat Docd Normal,
2031F,Stat Docd Dehydrated,
2035F,Memb Motion Examd,
2040F,n Xm On Init Visit Date,
2044F,Mntl Tst B/4 Bk Trxmnt,
2050F,d Char Size Etc Docd,
2060F,alk Eval Hlthwkr Re Mdd,
3006F,Doc Rev,
3008F,Mass Index Docd,
3011F,d Panel Doc Rev,
3014F,en Mammo Doc Rev,
3015F,Cancer Screen Docd,
3016F,crnd Unhlthy Oh Use,
3017F,rectal Ca Screen Doc Rev,
3018F,Prxd Rsk Et Al Docd,
3019F,Assess Planpost Dschrge,
3020F,Assess,
3021F,Mod/Sever Deprs Syst,
3022F,>/=40% Systolic,
3023F,om Doc Rev,
3025F,om Fev/Fvc <70% W/Copd,
3027F,om Fev/Fvc>/=70%/W/Ocopd,
3028F,aturation Doc Rev,
3035F,aturation</=88%/Pao</=55,
3037F,aturation >88%/Pao>55 Hg,
3038F,Fx W/In 12 Mon B/4 Surg,
3040F,<40% Predicted Value,
3042F,>/=40% Predicted Value,
3044F,1C Level Lt 7.0%,
3045F,1C Level 7.0-9.0%,
3046F,globin A1C Level >9.0%,
3048F,C <100 Mg/Dl,
3049F,C 100-129 Mg/Dl,
3050F,C >/= 130 Mg/Dl,
3051F,Hg A1C>Equal 7.0%<8.0%,
3052F,Hg A1C>Equal 8.0%<Equal 9.0%,
3055F,Less Than/Equal To 35%,
3056F,Greater Than 35%,
3060F,Microalbuminuria Rev,
3061F,Microalbuminuria Rev,
3062F,Macroalbuminuria Rev,
3066F,ropathy Doc Tx,
3072F,Risk For Retinopathy,
3073F,Surg Eye Measures Docd,
3074F,Bp Lt 130 Mm Hg,
3075F,Bp Ge 130 - 139Mm Hg,
3077F,Bp >/= 140 Mm Hg,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
3078F,t Bp <80 Mm Hg,
3079F,t Bp 80-89 Mm Hg,
3080F,t Bp >/= 90 Mm Hg,
3082F,<1.2,
3083F,=/> 1.2 & <1.7,
3084F,>/= 1.7,
3085F,ide Risk Assessed,
3088F,Mild,
3089F,Moderate,
3090F,Severe W/O Psych,
3091F,Severe W/Psych,
3092F,In Remission,
3093F,New Diag 1St/Addl Mdd,
3095F,ral Dexa Results Docd,
3096F,ral Dexa Ordered,
3100F,e Test Ref Carot Diam,
3110F,/Absn Hmrhg/Lesion Docd,
3111F,RI Brain Done W/In 24Hrs,
3112F,RI Brain Done 24 Hrs,
3115F,t Results Activity &Symp,
3117F,ssessment Tool Completed,
3118F,eart Assoc Class Docd,
3119F,val Activity Clin Symp,
3120F,ead Ecg Performed,
3126F,h Bx Rprt W/Dyspl Info,
3130F,r Gi Endoscopy Performed,
3132F,Ref Upper Gi Endoscopy,
3140F,r Gi Endo Shows Barrtts,
3141F,r Gi Endo Not Barrtts,
3142F,um Swallow Test Ordered,
3150F,eps Esoph Biopsy Done,
3155F,gen Test Marrow B/4 Tx,
3160F,Fe+ Stores B/4 Epo Thx,
3170F,Cyto Done B/4 Tx,
3200F,um Swallow Test Not Req,
3210F,A Strep Test Performed,
3215F,mmunity To Hep A Docd,
3216F,mmunity To Hep B Docd,
3218F,Tstng Hep C Docd Done,
3220F,C Quant Rna Tstng Docd,
3230F,Hring Tst W/In 6 Mon,
3250F,rim Loc Anat Bx Site Tum,
3260F,at/Pn Cat/Hist Grd Docd,
3265F,Tstng Hepc Vir Ord/Docd,
3266F,Gn Tstng Docd B/4Txmnt,
3267F,Rprt W/ Pt Pn Cat Et Al,
3268F,T/Glsc Docd B/4 Txmnt,
3269F,Scn B/4 Txmnt/Aftr Dx,
3270F,one Scn B/4 Txmnt/Aftrdx,
3271F,Risk Prostate Cancer,
3272F,Risk Prostate Cancer,
3273F,Risk Prostate Cancer,
3274F,t Cncr Rsk Not Lw/Md/Hgh,
3278F,m Lvls Ca/Ipth/Lpd Ord,
3279F,Lvl >/= 13 G/Dl,
3280F,Lvl 11-12.9 G/Dl,
3281F,Lvl <11 G/Dl,
3284F,Down >15% Of Pre-Svc Lvl,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
3285F,Down <15% Of Pre-Svc Lvl,
3288F,Risk Assessment Docd,
3290F,(Rh)- And Unsensitized,
3291F,(Rh)+ Or Sensitized,
3292F,Tstng Asked/Docd/Revwd,
3293F,Rh Blood Typing Docd,
3294F,B Strep Screening Docd,
3300F,Stage Docd B/4 Thxpy,
3301F,er Stage Docd Metast,
3315F,Or Pr+ Breast Cancer,
3316F,Or Pr- Breast Cancer,
3317F,Rpt Malig Cancer Docd,
3318F,Rpt Malig Cancer Docd,
3319F,y/Ct/Ultrsnd Et Al Ord,
3320F,ray/Ct/ Et Al Ordd,
3321F,Cncr 0/Ia Melan Docd,
3322F,nomaajcc Stage 0 Or Ia,
3323F,Node Stgng Docdb/4 Surg,
3324F,Ct Scan Ord Rvwd Rqstd,
3325F,p Asses 4 Cataract Surg,
3328F,mnc Docd 2 Wks B/4 Surg,
3330F,ing Study Ordered (Bkp),
3331F,maging Tst Not Ordered,
3340F,o Assess Inc Xray Docd,
3341F,o Assess Negative Docd,
3342F,o Assess Bengn Docd,
3343F,o Probably Bengn Docd,
3344F,o Assess Susp Docd,
3345F,o Assess Hghlymalig Doc,
3350F,o Bx Proven Malig Docd,
3351F,Scrn Dep Symp By Deptool,
3352F,ig Dep Symp By Dep Tool,
3353F,#NAME?,
3354F,Sig Dep Sym By Dep Tool,
3370F,Brst Cncr Stage 0 Docd,
3372F,Brst Cncr Stage 1 Docd,
3374F,Brst Cncr Stage 1 Docd,
3376F,Brstcncr Stage 2 Docd,
3378F,Brstcncr Stage 3 Docd,
3380F,Brstcncr Stage 4 Docd,
3382F,Cln Cncr Stage 0 Docd,
3384F,Cln Cncr Stage 1 Docd,
3386F,Cln Cncr Stage 2 Docd,
3388F,Cln Cncr Stage 3 Docd,
3390F,Cln Cncr Stage 4 Docd,
3394F,t Her2 Ihc Eval Brst Cx,
3395F,t Nonher2 Ihc Brst Cx,
3450F,nea Scrnd No-Mild Dysp,
3451F,nea Scrnd Mod-High Dysp,
3452F,nea Not Screened,
3455F,crng Done-Interpd 6Mon,
3470F,isease Activity Low,
3471F,isease Activity Mod,
3472F,isease Activity High,
3475F,ase Progn Ra Poor Docd,
3476F,ase Progn Ra Good Docd,
3490F,ory Aids-Defining Cond,
3491F,Unsure Baby Of Hiv+Moms,
3492F,ory Cd4+ Cell Count <350,
3493F,ist Cd4+ Cell Count <350,
3494F,Cell Count <200Cells/Mm3,
3495F,Cell Cnt 200-499 Cells,
3496F,Cell Count + 500 Cells,
3497F,Cell Percentage <15%,
3498F,Cell =15% (Hiv),
3500F,Cell Cnt/% Docd As Done,
3502F,Rna Vrl Ld <Lmts Quantif,
3503F,Rna Vrl Ldnot<Lmts Quntf,
3510F,Tb Scrng-Rslts Interpd,
3511F,yd/Gonrh Tsts Docd Done,
3512F,Scrng Docd As Done,
3513F,B Scrng Docd As Done,
3514F,C Scrng Docd As Done,
3515F,as Docd Immun To Hep C,
3517F,Assess&Results Intrp 1Yr,
3520F,ficile Testing Performed,
3550F,Rsk Thromboembolism,
3551F,med Rsk Thromboembolism,
3552F,Risk For Thromboembolism,
3555F,nr Measurement Performed,
3570F,Bone Scint Xref W Xray,
3572F,onsid Poss Risk Fx,
3573F,ot Consid Poss Risk Fx,
3650F,Ordered Rvwd Reqstd,
3700F,h Disorders Assessed,
3720F,it Impairment Assessed,
3725F,en Depression Performed,
3750F,trcvngsteroid>/=10Mg/Day,
3751F,trodiag Polyneuro 6 Mn,
3752F,lectrodiag Polyneuro 6Mn,
3753F,as Symp&Signs Neuropathy,
3754F,ening Tests Dm Done,
3755F,Behav Imprmnt Scrng Done,
3756F,/Pseudobulb Affect/Als,
3757F,/O Pseudobulbaffect/Als,
3758F,ef Pulm Fx Test/Peakflow,
3759F,crn Dysphag/Wt Loss/Nutr,
3760F,/ Dysphag/Wt Loss/Nutr,
3761F,/O Dysphag/Wt Loss/Nutr,
3762F,ent Is Dysarthric,
3763F,ent Is Not Dysarthric,
3775F,oma Detected Screening,
3776F,oma Not Detect Screening,
4000F,cco Use Txmnt Counseling,
4001F,cco Use Txmnt Pharmacol,
4003F,d Write/Oral Pts W/ Hf,
4004F,obacco Screen Rcvd Tlk,
4005F,m Thx For Op Rxd,
4008F,#NAME?,
4010F,Arb Therapy Rxd/Taken,
4011F,Antiplatelet Therapy Rx,
4012F,arin Therapy Rx,
4013F,in Therapy/Currently Tkn,
4014F,ten Discharge Instr Prvd,
4015F,ist Asthma Medicine Ctrl,
4016F,#NAME?,
4017F,rophylaxis For Nsaid Rx,
4018F,apy Exercise Joint Rx,
4019F,Recpt Counsl Vit D/Calc+,
4025F,led Bronchodilator Rx,
4030F,en Therapy Rx,
4033F,onary Rehab Rec,
4035F,uenza Imm Rec,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
4037F,uenza Imm Order/Admin,
4040F,moc Vac/Admin/Rcvd,
4041F,Order Cefazolin/Cefurox,
4042F,Antibio Not Given,
4043F,Order Given Stop Antibio,
4044F,Order Given Vte Prophylx,
4045F,ric Antibiotic Rx,
4046F,Antibio Given B/4 Surg,
4047F,Antibio Given B/4 Surg,
4048F,Antibio Given B/4 Surg,
4049F,Order Given Stop Antibio,
4050F,are Plan Doc,
4051F,rred For An Av Fistula,
4052F,dialysis Via Av Fistula,
4053F,dialysis Via Av Graft,
4054F,dialysis Via Catheter,
4055F,cvng Periton Dialysis,
4056F,op Oral Rehyd Recommd,
4058F,Gastro Ed Given Caregvr,
4060F,h Svcs Provided,
4062F,eferral Psych Docd,
4063F,depres Rxthxpy Not Rxd,
4064F,depressant Rx,
4065F,psychotic Rx,
4066F,Provided,
4067F,eferral For Ect Docd,
4069F,Prophylaxis Rcvd,
4070F,Prophylx Recvd Day 2,
4073F,Antiplat Thx Rx Dischrg,
4075F,coag Thx Rx At Dischrg,
4077F,T-Pa Admin Considered,
4079F,Rehab Svcs Considered,
4084F,rin Recvd W/In 24 Hrs,
4086F,rin/Clopidogrel Rxd,
4090F,cvng Epo Thxpy,
4095F,ot Rcvng Epo Thxpy,
4100F,os Thxpy Vein Ord/Recvd,
4110F,Mam Art Used For Cabg,
4115F,Blckr Admin W/In 24 Hrs,
4120F,biot Rxd/Given,
4124F,biot Not Rxd/Given,
4130F,cal Prep Rx Aoe,
4131F,Antimicrobial Thx Rx,
4132F,yst Antimicrobial Thx Rx,
4133F,hist/Decong Rx/Recom,
4134F,ntihist/Decong Rx/Recom,
4135F,emic Corticosteroids Rx,
4136F,Corticosteroids Not Rx,
4140F,led Corticosteroids Rxd,
4142F,icoster Sparng Thrpy Rxd,
4144F,Long-Term Cntrl Med Rxd,
4145F,nti-Hyprtnsv Agents Tkn,
4148F,A Vac Injxn Admin/Recvd,
4149F,B Vac Injxn Admin/Recvd,
4150F,ecvng Antivir Txmnt Hepc,
4151F,ot Recvng Antiv Hep C,
4153F,o Pegintf/Rib Rx,
4155F,A Vac Series Prev Recvd,
4157F,B Vac Series Prev Recvd,
4158F,du Re Alcoh Drnkng Done,
4159F,rcp Talk B/4 Antiv Txmnt,
4163F,ouns 4 Txmnt Opt Prost,
U.S. D,"TMENT OF LABOR, OFFICE OF WO",RKERS' COMPENSATION PROGRAMS
FEE SC,LE MODIFIER LEVEL TABLES,
Effect,"Date: August 30, 2019",
Last U,"e: March 30, 2020",
CPT/HC,MOD MOD LEV DESCRIPTION,
4164F,Hrmnl Thxpy Rxd,
4165F,rt/Imrt Received,
4167F,ed Tilted 1St Day Vent,
4168F,are Icu&Vent W/In 24Hrs,
4169F,t Care Icu/Vent In 24Hrs,
4171F,cvng Esa Thxpy,
4172F,ot Rcvng Esa Thxpy,
4174F,s Potent Glauc Impct,
4175F,20/40/> W/In 90 Days,
4176F,Re Uv Light Pt/Crgvr,
4177F,Pt/Crgvr Re Areds Prev,
4178F,d Glbln Rcvd W/In 26Wks,
4179F,xifen/Ai Prescribed,
4180F,Thxpyrxd/Rcvd Colon Ca,
4181F,ormal Radn Thxpy Rcvd,
4182F,onformal Radn Thxpy,
4185F,inuous Ppi Or H2Ra Rcvd,
4186F,ont Ppi Or H2Ra Rcvd,
4187F,Rheum Drugthxpyrxd/Gvn,
4188F,op Ace/Arb Tstng Done,
4189F,op Digoxin Tstng Done,
4190F,op Diuretic Tstng Done,
4191F,op Anticonvuls Tstng,
4192F,ot Rcvng Glucoco Thxpy,
4193F,cvng<10Mg Daily Predniso,
4194F,cvng10Mg Daily Predniso,
4195F,cvng Anti-Rheum Thxpy Ra,
4196F,t Rcvng Anti-Rhm Thxpyra,
4200F,rnal Beam To Prost Only,
4201F,nl Beam Other Than Prost,
4210F,Arb Thxpy For Mos/>,
4220F,xin Thxpy For 6 Mos/>,
4221F,etic Thxpy For 6 Mos/>,
4230F,conv Thxpy For 6 Mos/>,
4240F,r Xrcz Back Pain 12 Wks,
4242F,sd Xrcz Back Pn >12 Wks,
4245F,nstr Nrml Lifest,
4248F,nstr No Bd Rest 4 Days/>,
4250F,g 4 Surg Normothermia,
4255F,th 60 Min/> As Docd,
4256F,the <60 Min As Docd,
4260F,d Srfc Culturetech Used,
4261F,Other Than Surfc Cultr,
4265F,Dry Dressings Rx Recmd,
4266F,et-Dry Drssings Rx Recmd,
4267F,rssion Thxpy Prescribed,
4268F,d Re Comp Thxpy Rcvd,
4269F,opos Mthd Offloading Rxd,
4270F,cvng Anti R-Viral Thxpy,
4271F,cvng Anti R-Viral Thxpy,
4274F,Immuno Admind Rcvd,
4276F,nt Antivir Thxpy Rxd,
4279F,Prophylaxis Rxd,
4280F,Prophylax Rxd 3Mon Low %,
4290F,crned For Inj Drug Use,
4293F,crnd Hgh-Risk Sex Behav,
4300F,cvng Warf Thxpy,
4301F,ot Rcvng Warf Thxpy,
4305F,d Re Ft Care Inspct Rcvd,
4306F,lk Psych & Rx Opd Addic,
4320F,alk Psychsoc&Rx Oh Dpnd,
4322F,r Prov W/ Ed Addl Rsrcs,
4324F,ueried Prkns Complic,RKERS' COMPENSATION PROGRAMS
